hospital_config_id,hospital_config_description,number_of_beds,number_of_beds_locked,branch_id,hospital_id,description,email,fax,phone,active,create_date,update_date,user_id,managment_id
99999999,brak - test,0,0,1,13,null,null,null,null,f,null,null,null,null
427,BRAK,0,0,1,10,null,null,null,null,t,null,null,null,null
75,telefon: 323964200  fax: 323964243 uwagi: Katedra i Oddział Kliniczny Chirurgii Naczyń i Chirurgii Ogólnej.\r\nW tym 3 łóżka IOM,40,0,48,28,null,null,null,null,t,null,null,null,null
24,"telefon: 34 323 29 67  (centrala)  fax: 34 323 02 88 uwagi: Oddział Chorob Wewnętrznych z Ośrodkiem Intensywnej Opieki Kardiologicznej,\r\nw tym 5 łóżek intensywnego nadzoru kardiologicznego\r\nAdres oddziału: Al. Pokoju 44,  42-200 Częstochowa",65,0,1,20,null,null,null,null,t,null,null,null,null
27,"telefon:   fax:  uwagi: Oddział noworodkowy 19 łóżek, w tym 15 łóżek dla noworodków, 4 inkubatory",19,0,75,21,null,null,null,null,t,null,null,null,null
28,telefon:   fax:  uwagi: W tym 2 łóżka IOM.,37,0,1,21,null,null,null,null,t,null,null,null,null
29,telefon: 32 3257546  fax:  uwagi: W tym 5 łóżek IOM.\r\nOddział leczenia udarów,30,0,22,21,null,null,null,null,t,null,null,null,null
31,telefon:   fax:  uwagi: ,20,0,8,21,null,null,null,null,t,null,null,null,null
841,"telefon:   fax:  uwagi: 2 IOM -kod 4000, 5 IOM - kod 4220",7,0,191,21,null,null,null,null,t,null,null,null,null
32,"telefon: 324537135, dyżurka pielęgniarek 32 4537137  fax: 324554513 uwagi: Oddział otwarty 19 łóżek \r\nOddział zakaźny - 19 łóżek",38,0,31,22,null,null,null,null,t,null,null,null,null
33,"telefon: 324537129 (pulmon.) ;  324537131 (dyżurka pielęgniarek); Oddział Pulmunologii i Rehabilitacji Oddechowej: gabinet lekarski 32 4537115, dyżurka pielęgniarek 32 4537121  fax: 324554513 uwagi: Oddział II Pulmonologiczny - 40\r\nOddział III Pulmonologii i Rehabilitacji Oddechowej - 26",66,0,133,22,null,null,null,null,t,null,null,null,null
